Attr_For,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
1.0,0.6818,0.0,1.0,grey,black,0.0197,None
1.0,0.5,0.0,1.0,grey,black,0.0028,None
0.0,0.3684,0.0,1.0,grey,black,0.0036,None
1.0,0.6818,0.0,1.0,grey,black,0.0427,None
0.0,0.3684,0.0,1.0,grey,black,0.0035,None
1.0,0.6818,0.0,1.0,grey,black,0.0427,None
1.0,0.2105,0.0,1.0,grey,black,0.0032,None
1.0,0.5,0.0,1.0,grey,black,0.0054,None
0.0,0.3684,0.0,1.0,grey,black,0.0036,None
0.0,0.5,0.0,1.0,grey,black,0.0031,None
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
1.0,0.1667,0.0,1.0,grey,black,0.0026,None
0.0,0.2105,0.0,1.0,grey,black,0.0028,None
1.0,0.2105,0.0,1.0,grey,black,0.0032,None
1.0,0.5,0.0,1.0,grey,black,0.0095,None
1.0,0.6818,0.0,1.0,grey,black,0.0821,None
1.0,0.2105,0.0,1.0,grey,black,0.0026,None
1.0,0.2105,0.0,1.0,red,black,0.0031,None
1.0,0.625,0.0,1.0,grey,black,0.0232,None
0.0,0.625,0.0,1.0,grey,black,0.0232,None
0.0,0.625,0.0,1.0,red,black,0.0232,None
1.0,0.2105,0.0,1.0,grey,black,0.0102,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.5,0.0,1.0,grey,black,0.0027,None
0.0,0.6,0.0,1.0,grey,black,0.0172,None
1.0,0.5,0.0,1.0,grey,black,0.0027,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
0.0,0.5,0.0,1.0,grey,black,0.0137,None
1.0,0.5,0.0,1.0,grey,black,0.0027,None
1.0,0.5,0.0,1.0,grey,black,0.0027,None
0.0,0.6,0.0,1.0,grey,black,0.0093,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.5,0.0,1.0,grey,black,0.0047,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
1.0,0.5,0.0,1.0,grey,black,0.0027,None
1.0,0.5,0.0,1.0,grey,black,0.0027,None
1.0,0.2105,0.0,1.0,red,black,0.0031,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.5,0.0,1.0,grey,black,0.0027,None
0.0,0.6,0.0,1.0,grey,black,0.0163,None
1.0,0.5,0.0,1.0,grey,black,0.0027,None
1.0,0.6818,0.0,1.0,grey,black,0.0197,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
1.0,0.1667,0.0,1.0,grey,black,0.0026,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.625,0.0,1.0,grey,black,0.3588,None
1.0,0.625,0.0,1.0,grey,black,0.3748,None
1.0,0.625,0.0,1.0,grey,black,0.3808,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
0.0,0.2105,0.0,1.0,grey,black,0.0137,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
0.0,0.6,0.0,1.0,grey,black,0.0233,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
1.0,0.2105,0.0,1.0,grey,black,0.0027,None
0.0,0.6,0.0,1.0,grey,black,0.0242,None
