Attr_For,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
0.0,0.5,0.0,1.0,grey,black,0.0762,None
0.0,0.2105,0.0,0.0,grey,black,0.0017,None
0.0,0.5,0.0,1.0,grey,black,0.0281,None
0.0,0.6,0.0,1.0,grey,black,0.0172,None
0.0,0.5,0.0,1.0,grey,black,0.1992,None
0.0,0.5,0.0,1.0,grey,black,0.0754,None
0.0,0.5,0.0,1.0,grey,black,0.0208,None
0.0,0.5,0.0,1.0,grey,black,0.0129,None
0.0,0.5,0.0,1.0,grey,black,0.0198,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
0.0,0.5,0.0,1.0,grey,black,0.042,None
0.0,0.5,0.0,1.0,grey,black,0.0342,None
0.0,0.1053,0.25,0.0,grey,white,0.0349,None
0.0,0.2105,0.0,0.0,grey,black,0.0,None
0.0,0.1579,0.25,0.0,grey,black,0.0298,None
0.0,0.2105,0.0,0.0,grey,black,0.0028,None
0.0,0.1579,0.25,0.0,grey,black,0.0187,None
0.0,0.2632,0.25,0.0,grey,black,0.0315,None
0.0,0.2105,0.0,0.0,grey,black,0.0301,None
0.0,0.2105,0.0,0.0,grey,black,0.0242,None
0.0,0.1579,0.25,0.0,grey,black,0.0326,None
0.0,0.2632,0.25,0.0,grey,black,0.0367,None
0.0,0.2105,1.0,0.0,grey,black,0.1116,None
0.0,0.2105,0.0,0.0,grey,black,0.0028,None
0.0,0.1579,0.25,0.0,grey,black,0.0148,None
0.0,0.1579,0.25,0.0,grey,black,0.0176,None
0.0,0.2105,0.0,0.0,grey,black,0.0303,None
0.0,0.1579,0.25,0.0,grey,black,0.0357,None
0.0,0.2105,0.0,0.0,grey,black,1.0,None
0.0,0.1579,0.25,0.0,grey,black,0.0266,None
0.0,0.1579,0.25,0.0,grey,black,0.0151,None
0.0,0.1053,0.25,0.0,grey,white,0.0179,None
0.0,0.2105,0.0,0.0,grey,black,0.0004,None
0.0,0.5263,0.25,0.0,white,black,0.0222,None
0.0,0.2105,0.0,0.0,grey,black,0.023,None
0.0,0.2105,0.0,0.0,grey,black,0.0028,None
0.0,0.2105,0.0,0.0,grey,black,0.092,None
0.0,0.4,0.0,1.0,grey,black,0.0554,None
0.0,0.1579,0.25,0.0,grey,black,0.0154,None
0.0,0.1053,0.25,0.0,grey,white,0.025,None
0.0,0.1579,0.25,0.0,grey,black,0.0225,None
0.0,0.1053,0.25,0.0,grey,white,0.0339,None
0.0,0.1579,0.25,0.0,grey,black,0.0233,None
0.0,0.2105,0.0,0.0,grey,white,0.0053,None
0.0,0.1579,0.25,0.0,grey,black,0.027999999999999997,None
0.0,0.2105,0.0,0.0,grey,black,0.0028,None
0.0,0.5,0.0,1.0,grey,black,0.0773,None
0.0,0.5,0.25,1.0,grey,black,0.0565,None
0.0,0.6,0.0,1.0,grey,black,0.0065,None
0.0,0.5,0.25,1.0,grey,black,0.0313,None
0.0,0.5,0.25,1.0,grey,black,0.0386,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
0.0,0.4,0.0,1.0,grey,black,0.0967,None
0.0,0.6333,0.0,1.0,grey,black,0.0814,None
0.0,0.5,0.25,1.0,grey,black,0.0579,None
0.0,0.4,0.0,1.0,grey,black,0.1,None
0.0,0.5,0.0,1.0,white,black,0.0346,None
0.0,0.5,0.0,0.0,grey,black,0.0021,None
0.0,0.5,0.0,0.0,grey,black,0.0499,None
0.0,0.5,0.0,0.0,grey,black,0.0026,None
0.0,0.5,0.0,0.0,grey,black,0.0374,None
0.0,0.5,0.0,0.0,grey,black,0.069,None
0.0,0.5,0.0,0.0,grey,black,0.0021,None
0.0,1.0,0.0,0.0,grey,black,0.0762,None
0.0,0.5,0.0,0.0,grey,black,0.0389,None
0.0,0.5,0.0,0.0,grey,black,0.0035,None
0.0,0.5,0.0,0.0,grey,black,0.0021,None
0.0,0.5,0.0,0.0,grey,black,0.0297,None
0.0,0.5,0.0,0.0,grey,black,0.0714,None
0.0,0.5,0.0,0.0,grey,black,0.0455,None
0.0,0.5,0.0,0.0,grey,black,0.0092,None
0.0,0.5,0.0,0.0,grey,black,0.0279,None
0.0,0.5,0.0,1.0,grey,black,0.0279,None
0.0,0.5,0.0,0.0,grey,black,0.0389,None
0.0,1.0,0.0,1.0,grey,black,0.0693,None
0.0,1.0,0.0,0.0,grey,black,0.0762,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
0.0,0.5,0.0,0.0,grey,white,0.0318,None
0.0,1.0,0.0,0.0,grey,black,0.0563,None
0.0,0.5,0.0,0.0,grey,black,0.0585,None
0.0,0.5,0.0,0.0,grey,black,0.0005,None
0.0,0.5,1.0,1.0,white,black,0.0539,None
0.0,0.5,0.0,1.0,grey,black,0.1798,None
0.0,0.4667,0.25,1.0,grey,black,0.0562,None
0.0,0.4,0.0,1.0,grey,black,0.0473,None
0.0,0.5,0.25,1.0,grey,black,0.0241,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
0.0,0.5,0.0,1.0,white,black,0.04,None
0.0,0.5,1.0,1.0,white,black,0.0654,None
0.0,0.3667,1.0,1.0,white,green,0.0898,None
0.0,0.5,0.0,1.0,white,black,0.0458,None
0.0,0.6333,0.0,0.0,grey,black,0.0686,None
0.0,0.5,0.0,1.0,grey,white,0.0617,None
0.0,0.5,0.0,1.0,grey,black,0.0797,None
0.0,0.5,0.25,1.0,grey,black,0.0611,None
0.0,0.6,0.0,1.0,grey,black,0.0163,None
0.0,0.5,0.0,1.0,grey,black,0.0763,None
0.0,0.5,0.25,1.0,grey,black,0.0278,None
0.0,0.5,0.0,1.0,grey,black,0.0023,None
0.0,0.5,0.0,1.0,grey,black,0.0023,None
0.0,0.1579,0.25,0.0,grey,black,0.0256,None
0.0,0.6,0.0,1.0,grey,black,0.0093,None
0.0,0.5,0.0,1.0,white,black,0.0428,None
1.0,0.5,0.0,1.0,grey,black,0.0047,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
0.0,0.5,1.0,1.0,white,black,0.0737,None
0.0,0.5,0.0,1.0,grey,black,0.0302,None
0.0,0.5,0.0,1.0,grey,black,0.0127,None
0.0,0.5,0.25,1.0,white,black,0.0483,None
0.0,0.5,0.25,1.0,grey,black,0.0594,None
0.0,0.4,0.0,1.0,grey,black,0.0738,None
0.0,0.5,0.25,1.0,grey,black,0.0656,None
0.0,0.5,0.0,1.0,white,black,0.0322,None
0.0,0.5,0.0,1.0,grey,black,0.0023,None
0.0,0.5,0.0,1.0,grey,black,0.0023,None
0.0,0.4,0.0,1.0,grey,black,0.0886,None
0.0,0.2105,0.0,0.0,grey,black,0.0108,None
0.0,0.1579,0.25,0.0,grey,black,0.0161,None
0.0,0.1579,0.25,0.0,grey,black,0.0205,None
0.0,0.5,0.0,0.0,grey,black,0.0078,None
0.0,0.5,0.0,0.0,grey,black,0.004,None
0.0,0.5,0.0,0.0,grey,black,0.003,None
0.0,0.5,0.0,0.0,grey,black,0.0,None
0.0,0.5,0.25,1.0,grey,white,0.0968,None
0.0,0.5,0.0,0.0,grey,black,0.0037,None
0.0,0.5,0.0,0.0,grey,black,0.004,None
0.0,0.5,0.0,0.0,grey,black,0.0005,None
0.0,1.0,0.0,0.0,grey,black,0.0798,None
0.0,0.5,0.0,0.0,grey,black,0.0433,None
0.0,1.0,0.0,0.0,grey,black,0.0613,None
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
0.0,0.2105,0.0,1.0,grey,black,0.0028,None
0.0,0.2105,0.0,1.0,grey,black,0.0093,None
0.0,0.2105,1.0,1.0,white,black,0.0298,None
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
1.0,0.2105,0.0,1.0,grey,black,0.012,None
0.0,0.2105,0.0,1.0,grey,black,0.0018,None
0.0,0.2105,0.0,1.0,white,black,0.0239,None
0.0,0.2105,0.0,1.0,grey,black,0.0018,None
0.0,0.1579,0.25,1.0,grey,black,0.0228,None
0.0,0.2105,0.0,1.0,grey,black,0.0018,None
0.0,0.2105,0.0,1.0,grey,black,0.0868,None
0.0,0.2105,0.0,1.0,grey,black,0.105,None
0.0,0.2105,1.0,1.0,white,black,0.024,None
0.0,0.2105,0.0,1.0,grey,white,0.0108,None
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
0.0,0.2105,0.0,1.0,white,black,0.0232,None
0.0,0.1053,0.0,1.0,grey,black,0.0046,None
0.0,0.2105,1.0,1.0,white,black,0.0258,None
0.0,0.5,0.0,0.0,grey,green,0.0484,None
0.0,0.2105,0.0,1.0,grey,black,0.0018,None
0.0,0.2105,0.0,0.0,grey,black,0.0247,None
0.0,0.2105,0.0,0.0,grey,black,0.0053,None
0.0,0.2105,0.0,0.0,grey,white,0.0366,None
0.0,0.2105,0.0,0.0,grey,black,0.10400000000000001,None
0.0,0.2105,0.0,0.0,grey,black,0.0,None
0.0,0.1579,0.25,0.0,grey,black,0.0283,None
0.0,1.0,0.0,0.0,grey,black,0.0283,None
0.0,0.1579,0.25,0.0,grey,black,0.0149,None
0.0,0.1053,0.25,0.0,grey,white,0.0187,None
0.0,0.1579,0.25,0.0,grey,black,0.0224,None
0.0,0.1579,0.25,0.0,grey,black,0.0153,None
0.0,0.1579,0.25,0.0,grey,black,0.0188,None
0.0,0.2105,0.0,0.0,grey,black,0.0239,None
0.0,0.2632,0.25,0.0,grey,black,0.0336,None
1.0,0.2105,0.0,0.0,grey,black,0.0005,None
0.0,0.1053,0.25,0.0,grey,white,0.0291,None
0.0,0.1053,0.0,0.0,grey,black,0.0042,None
0.0,0.2105,0.0,0.0,grey,black,0.0028,None
0.0,0.2105,0.0,0.0,grey,black,0.0101,None
0.0,0.2105,0.0,1.0,grey,black,0.0018,None
0.0,0.2632,0.25,0.0,grey,black,0.0243,None
0.0,1.0,0.0,1.0,grey,black,0.0178,None
0.0,0.2105,0.0,1.0,white,black,0.0229,None
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
1.0,0.2105,0.0,1.0,grey,black,0.0028,None
0.0,0.2105,1.0,1.0,grey,black,0.0072,None
0.0,0.2105,0.0,1.0,grey,black,0.0928,None
0.0,0.2105,0.0,1.0,grey,black,0.0018,None
0.0,0.3684,0.0,1.0,grey,black,0.0058,None
0.0,1.0,0.0,0.0,grey,black,0.0798,None
0.0,0.2632,0.25,0.0,grey,black,0.0214,None
0.0,0.2105,0.0,1.0,grey,black,0.0018,None
0.0,0.0,1.0,1.0,white,green,0.0272,None
0.0,0.2105,0.0,0.0,grey,black,0.0239,None
0.0,0.2105,0.0,0.0,grey,black,0.086,None
1.0,0.2105,0.0,0.0,grey,black,0.0005,None
0.0,0.2105,0.0,0.0,grey,black,0.011000000000000001,None
0.0,0.2105,0.0,0.0,grey,black,0.0032,None
0.0,0.1053,0.25,0.0,grey,white,0.0316,None
0.0,0.2105,0.0,0.0,grey,black,0.10400000000000001,None
0.0,0.2632,0.25,0.0,grey,black,0.0275,None
0.0,0.2105,0.0,0.0,grey,white,0.0051,None
0.0,0.5,0.0,1.0,grey,black,0.0784,None
0.0,0.1053,0.25,0.0,grey,white,0.0325,None
0.0,0.1053,0.25,0.0,grey,black,0.0045,None
0.0,0.2105,0.0,0.0,grey,black,0.0032,None
0.0,0.2105,0.0,0.0,grey,black,0.0004,None
0.0,0.1579,0.25,0.0,grey,black,0.040999999999999995,None
0.0,0.2105,0.0,0.0,grey,white,0.0,None
0.0,0.1053,0.25,0.0,grey,white,0.0243,None
0.0,0.2632,0.25,0.0,grey,black,0.0194,None
0.0,0.1579,0.25,0.0,grey,black,0.0286,None
0.0,0.2105,0.0,0.0,grey,black,0.0028,None
1.0,0.2105,0.0,0.0,grey,black,0.0005,None
0.0,0.1579,0.25,0.0,grey,black,0.0178,None
0.0,0.2105,0.0,0.0,grey,black,0.0,None
0.0,0.1579,0.25,0.0,grey,black,0.0305,None
0.0,0.2632,0.25,0.0,grey,black,0.016,None
0.0,0.2105,0.0,0.0,grey,black,0.0051,None
0.0,0.1579,0.25,0.0,grey,black,0.0268,None
0.0,0.1053,0.25,0.0,grey,white,0.0304,None
0.0,0.2105,0.0,0.0,grey,black,0.0289,None
0.0,0.2105,0.0,0.0,grey,black,0.0242,None
0.0,0.2105,0.0,1.0,white,black,0.0239,None
0.0,0.1579,0.25,0.0,grey,black,0.0302,None
0.0,1.0,0.0,0.0,grey,black,0.0175,None
0.0,0.4211,0.0,1.0,grey,black,0.0342,None
0.0,0.2105,0.0,1.0,white,black,0.023,None
0.0,0.2105,0.25,1.0,white,green,0.0866,None
0.0,0.2105,0.0,0.0,grey,black,0.0004,None
0.0,0.2105,0.0,0.0,grey,black,0.0032,None
0.0,0.2105,0.0,0.0,grey,black,0.0,None
0.0,0.2632,0.25,0.0,grey,black,0.0277,None
0.0,0.4211,0.0,0.0,grey,black,0.0352,None
0.0,0.2105,0.0,0.0,grey,black,0.0229,None
0.0,0.2105,0.0,0.0,grey,black,0.0244,None
0.0,0.2105,0.0,0.0,grey,black,0.0028,None
0.0,0.2632,0.25,0.0,grey,black,0.0395,None
0.0,0.2105,0.0,0.0,grey,black,0.012,None
1.0,0.2105,0.0,0.0,grey,black,0.0005,None
0.0,0.1579,0.25,0.0,grey,black,0.0187,None
0.0,0.1053,0.25,0.0,grey,white,0.0284,None
0.0,0.1053,0.25,0.0,grey,white,0.016,None
0.0,0.2632,0.25,0.0,grey,black,0.0296,None
0.0,0.2632,0.25,0.0,grey,black,0.0367,None
0.0,0.2105,0.0,0.0,white,black,0.0243,None
0.0,0.1579,0.25,0.0,grey,black,0.0181,None
0.0,0.1053,0.25,0.0,grey,white,0.0355,None
0.0,0.1579,0.25,0.0,grey,black,0.034,None
0.0,0.1053,0.25,0.0,grey,white,0.0221,None
0.0,0.1579,0.25,0.0,grey,black,0.0248,None
0.0,0.2105,0.0,0.0,grey,green,0.0239,None
0.0,0.2632,0.25,0.0,grey,black,0.0206,None
0.0,0.2105,0.0,0.0,grey,black,0.0199,None
0.0,0.2632,0.25,0.0,grey,black,0.035,None
0.0,0.1579,0.25,0.0,grey,black,0.0293,None
0.0,0.4,0.0,1.0,grey,black,0.0665,None
0.0,0.5,0.0,0.0,grey,black,0.0314,None
1.0,0.5,0.0,1.0,grey,black,0.003,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.7,0.25,0.0,white,black,1.0,None
0.0,1.0,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,white,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,white,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,1.0,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.25,1.0,grey,white,0.0223,None
0.0,0.4,0.0,1.0,grey,black,0.0856,None
0.0,0.5,0.0,1.0,white,black,0.0276,None
0.0,0.5,0.25,1.0,grey,black,0.0203,None
0.0,0.5,0.0,1.0,grey,black,0.002,None
1.0,0.5,0.0,1.0,grey,black,0.0026,None
0.0,0.5,0.0,1.0,grey,black,0.0672,None
0.0,0.5,0.0,1.0,grey,black,0.0655,None
0.0,0.5,0.25,1.0,grey,black,0.0475,None
0.0,0.5,0.25,1.0,grey,black,0.0474,None
0.0,0.5,0.25,1.0,grey,black,0.0475,None
0.0,0.4,0.0,1.0,grey,black,0.0554,None
0.0,0.4,0.0,1.0,grey,black,0.0361,None
0.0,0.5,0.0,1.0,grey,black,0.0306,None
0.0,0.5,0.0,1.0,grey,black,0.0031,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,1.0,grey,black,0.002,None
0.0,0.5,0.0,1.0,grey,black,0.002,None
0.0,0.5,0.0,1.0,grey,black,0.0722,None
0.0,0.5,0.0,1.0,white,black,0.0461,None
0.0,0.5,0.0,1.0,white,black,0.0392,None
0.0,0.5,0.0,1.0,white,black,0.0296,None
0.0,0.5,0.25,1.0,grey,black,0.0474,None
0.0,0.5,0.25,1.0,grey,black,0.011000000000000001,None
0.0,0.5,0.0,1.0,grey,black,0.0278,None
0.0,0.5,0.0,1.0,grey,black,0.0301,None
0.0,0.5,0.0,1.0,grey,black,0.0327,None
0.0,1.0,0.0,1.0,grey,black,0.0565,None
0.0,0.5,0.0,1.0,grey,black,0.0256,None
0.0,0.5,0.0,1.0,grey,black,0.0657,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,1.0,white,black,0.0258,None
0.0,0.4,0.0,1.0,grey,black,0.0621,None
0.0,0.4,0.0,1.0,grey,black,0.0754,None
0.0,0.5,0.25,1.0,grey,black,0.0502,None
0.0,0.6,0.0,1.0,grey,black,0.0474,None
0.0,0.5,0.25,1.0,white,black,0.08,None
0.0,0.5,1.0,1.0,white,black,0.0606,None
0.0,0.5,0.0,1.0,white,black,0.0342,None
0.0,0.3667,1.0,1.0,white,green,0.0754,None
0.0,0.5,0.25,1.0,grey,black,0.0482,None
0.0,0.6333,0.0,1.0,grey,black,0.0673,None
0.0,0.5,0.25,1.0,grey,black,0.0491,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.0,0.0,grey,black,1.0,None
0.0,0.5,0.25,1.0,grey,black,0.0551,None
0.0,0.5,0.0,1.0,grey,black,0.1554,None
0.0,0.5,0.25,1.0,grey,black,0.0266,None
